postal_code,area_name,prefecture_name
10431,ΑΘΗΝΑ,ΑΤΤΙΚΗΣ
10564,ΑΘΗΝΑ,ΑΤΤΙΚΗΣ
10552,ΑΘΗΝΑ,ΑΤΤΙΚΗΣ
10553,ΑΘΗΝΑ,ΑΤΤΙΚΗΣ
10432,ΑΘΗΝΑ,ΑΤΤΙΚΗΣ
10438,ΑΘΗΝΑ,ΑΤΤΙΚΗΣ
10677,ΑΘΗΝΑ,ΑΤΤΙΚΗΣ
10433,ΑΘΗΝΑ,ΑΤΤΙΚΗΣ
10683,ΑΘΗΝΑ,ΑΤΤΙΚΗΣ
10439,ΑΘΗΝΑ,ΑΤΤΙΚΗΣ
10682,ΑΘΗΝΑ,ΑΤΤΙΚΗΣ
10434,ΑΘΗΝΑ,ΑΤΤΙΚΗΣ
10440,ΑΘΗΝΑ,ΑΤΤΙΚΗΣ
10437,ΑΘΗΝΑ,ΑΤΤΙΚΗΣ
10435,ΑΘΗΝΑ,ΑΤΤΙΚΗΣ
10436,ΑΘΗΝΑ,ΑΤΤΙΚΗΣ
11855,ΑΘΗΝΑ,ΑΤΤΙΚΗΣ
10447,ΑΘΗΝΑ,ΑΤΤΙΚΗΣ
10446,ΑΘΗΝΑ,ΑΤΤΙΚΗΣ
10445,ΑΘΗΝΑ,ΑΤΤΙΚΗΣ
10441,ΑΘΗΝΑ,ΑΤΤΙΚΗΣ
10442,ΑΘΗΝΑ,ΑΤΤΙΚΗΣ
10444,ΑΘΗΝΑ,ΑΤΤΙΚΗΣ
10443,ΑΘΗΝΑ,ΑΤΤΙΚΗΣ
11361,ΑΘΗΝΑ,ΑΤΤΙΚΗΣ
11252,ΑΘΗΝΑ,ΑΤΤΙΚΗΣ
11257,ΑΘΗΝΑ,ΑΤΤΙΚΗΣ
11145,ΑΘΗΝΑ,ΑΤΤΙΚΗΣ
11854,ΑΘΗΝΑ,ΑΤΤΙΚΗΣ
11251,ΑΘΗΝΑ,ΑΤΤΙΚΗΣ
11143,ΑΘΗΝΑ,ΑΤΤΙΚΗΣ
11253,ΑΘΗΝΑ,ΑΤΤΙΚΗΣ
11254,ΑΘΗΝΑ,ΑΤΤΙΚΗΣ
10551,ΑΘΗΝΑ,ΑΤΤΙΚΗΣ
10554,ΑΘΗΝΑ,ΑΤΤΙΚΗΣ
10563,ΑΘΗΝΑ,ΑΤΤΙΚΗΣ
10561,ΑΘΗΝΑ,ΑΤΤΙΚΗΣ
10559,ΑΘΗΝΑ,ΑΤΤΙΚΗΣ
10562,ΑΘΗΝΑ,ΑΤΤΙΚΗΣ
10560,ΑΘΗΝΑ,ΑΤΤΙΚΗΣ
10555,ΑΘΗΝΑ,ΑΤΤΙΚΗΣ
10558,ΑΘΗΝΑ,ΑΤΤΙΚΗΣ
10556,ΑΘΗΝΑ,ΑΤΤΙΚΗΣ
10557,ΑΘΗΝΑ,ΑΤΤΙΚΗΣ
10671,ΑΘΗΝΑ,ΑΤΤΙΚΗΣ
10672,ΑΘΗΝΑ,ΑΤΤΙΚΗΣ
10673,ΑΘΗΝΑ,ΑΤΤΙΚΗΣ
10679,ΑΘΗΝΑ,ΑΤΤΙΚΗΣ
10674,ΑΘΗΝΑ,ΑΤΤΙΚΗΣ
10675,ΑΘΗΝΑ,ΑΤΤΙΚΗΣ
10676,ΑΘΗΝΑ,ΑΤΤΙΚΗΣ
11521,ΑΘΗΝΑ,ΑΤΤΙΚΗΣ
11634,ΑΘΗΝΑ,ΑΤΤΙΚΗΣ
10678,ΑΘΗΝΑ,ΑΤΤΙΚΗΣ
10681,ΑΘΗΝΑ,ΑΤΤΙΚΗΣ
10680,ΑΘΗΝΑ,ΑΤΤΙΚΗΣ
11473,ΑΘΗΝΑ,ΑΤΤΙΚΗΣ
11472,ΑΘΗΝΑ,ΑΤΤΙΚΗΣ
11141,ΑΘΗΝΑ,ΑΤΤΙΚΗΣ
11256,ΑΘΗΝΑ,ΑΤΤΙΚΗΣ
11255,ΑΘΗΝΑ,ΑΤΤΙΚΗΣ
11364,ΑΘΗΝΑ,ΑΤΤΙΚΗΣ
11142,ΑΘΗΝΑ,ΑΤΤΙΚΗΣ
11144,ΑΘΗΝΑ,ΑΤΤΙΚΗΣ
11146,ΓΑΛΑΤΣΙ,ΑΤΤΙΚΗΣ
11147,ΓΑΛΑΤΣΙ,ΑΤΤΙΚΗΣ
11362,ΑΘΗΝΑ,ΑΤΤΙΚΗΣ
11551,ΑΘΗΝΑ,ΑΤΤΙΚΗΣ
11363,ΑΘΗΝΑ,ΑΤΤΙΚΗΣ
11476,ΑΘΗΝΑ,ΑΤΤΙΚΗΣ
11454,ΑΘΗΝΑ,ΑΤΤΙΚΗΣ
11471,ΑΘΗΝΑ,ΑΤΤΙΚΗΣ
11474,ΑΘΗΝΑ,ΑΤΤΙΚΗΣ
11475,ΑΘΗΝΑ,ΑΤΤΙΚΗΣ
11522,ΑΘΗΝΑ,ΑΤΤΙΚΗΣ
11523,ΑΘΗΝΑ,ΑΤΤΙΚΗΣ
11526,ΑΘΗΝΑ,ΑΤΤΙΚΗΣ
11524,ΑΘΗΝΑ,ΑΤΤΙΚΗΣ
